Date ,Tweet,,,,,,,,,,Mention
10/6/16 15:50,"#Bagyong #lando, #inaasahang magla-landfall sa Isabel-Aurora area sabado ng gabi o linggo ng umaga",,,,,,,,,,@newsinvideos
5/6/16 18:37,#EarthquakePH #EarthquakeIlocosSur Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:56 AM Magnitude... http://fb.me/46i4KmMT4 ,,,,,,,,,,@phivolcs_dost
6/5/16 17:29,#EarthquakePH #EarthquakeEasternSamar Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:03 AM... http://fb.me/ChyG8Q3k ,,,,,,,,,,@phivolcs_dost
6/5/16 13:48,#EarthquakePH #EarthquakeNegrosOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 05:17 AM... http://fb.me/51EkU6wAy ,,,,,,,,,,@phivolcs_dost
12/18/15 19:22,"#Bagyong #Onyok, #inaasahan #tatama sa #Davao #Oriental",,,,,,,,,,@gmanews
6/6/16 11:10,#EarthquakePH #EarthquakeMountainProvince Earthquake Information No. 1 Date and Time: 06 June 2016 - 02:41 AM... http://fb.me/1bn0gT4Ma ,,,,,,,,,,@phivolcs_dost
6/6/16 9:38,#EarthquakePH #EarthquakeDavaoOriental Earthquake Information No. 1 Date and Time: 06 June 2016 - 01:13 AM... http://fb.me/W4ek1Uwt ,,,,,,,,,,@phivolcs_dost
6/9/16 21:43,"Nicaragua, niyanig ng magnitude 6.1 na lindol - DZIQ Radyo Inquirer 990AM",,,,,,,,,,@RadyoInquirer990AM
6/5/16 11:07,#EarthquakePH #EarthquakeBataan Earthquake Information No. 1 Date and Time: 05 June 2016 - 02:29 AM Magnitude =... http://fb.me/3OMJ3jQG0 ,,,,,,,,,,@phivolcs_dost
12/16/14 10:46,.@NDRRMC_OpCen: Batangas under state of calamity due to #RubyPH http://gmane.ws/1A0eBOh  | via @gmanews,,,,,,,,,,@IMReadyPH
6/4/16 5:38,#EarthquakePH #EarthquakeSurigaoDelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 09:12 PM... http://fb.me/2NV68t7EL ,,,,,,,,,,@phivolcs_dost
6/4/16 1:27,#EarthquakePH #EarthquakeBohol Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:07 PM Magnitude =... http://fb.me/16C0dA8zK ,,,,,,,,,,@phivolcs_dost
6/4/16 1:09,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:53 PM... http://fb.me/2j7zBZU0I ,,,,,,,,,,@phivolcs_dost
6/4/16 0:43,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 04:20 PM... http://fb.me/1fZKAr1CE ,,,,,,,,,,@phivolcs_dost
12/13/14 7:13,"#RadyoPatrol Halaga ng pinsalang idinulot ni #RubyPH, umabot na sa P3.3 bilyon",,,,,,,,,,@DZMMTeleRadyo
6/3/16 20:33,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 12:09 PM... http://fb.me/455AAzbIo ,,,,,,,,,,@phivolcs_dost
6/3/16 16:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 8:03 AM... http://fb.me/2cj9KEJMP ,,,,,,,,,,@phivolcs_dost
